id,name,screen_name,followers_count,friends_count
2232849258,Networks @ LSE,LSENetworks,160,121
224896427,Trevor Bedford,trvrb,2559,479
226041293,Erez Lieberman Aiden,erezaterez,2109,206
22642788,Pew Research Center,pewresearch,343930,81
226571318,Joshua Blumenstock,jblumenstock,356,91
2280718796,Social Physics,SocPhys,2437,1657
22839233,Kaitlin Thaney 💁🏻,kaythaney,10796,2029
22931893,Seth Mnookin,sethmnookin,35556,1704
2293415520,NatlAcad of Sciences,theNASciences,13929,1015
22979111,Marta C. Gonzalez,martikagv,890,621
2298663788,bernice pescosolido,pescosol,113,87
229910053,Complexity Digest,cxdig,11498,1697
2303751216,FiveThirtyEight,FiveThirtyEight,926747,239
2316224708,Philip Ball,philipcball,6159,117
232294292,Gary Marcus,GaryMarcus,16275,2891
2326120952,Science Advances,ScienceAdvances,5482,105
2329657867,Jürgen Pfeffer,JurgenPfeffer,1303,201
2329921,Lada Adamic,ladamic,9760,199
2332368062,Samuel V. Scarpino,svscarpino,956,641
233372517,William Bialek,wbialek,1387,100
2335431,Yong-Yeol Ahn,yy,2850,1028
2338824692,Yale Network Science,YINSedge,2140,327
2340558698,538 politics,538politics,103994,235
2341772972,Data Science Lab,thedatascilab,4156,940
23578176,Jemaine Clement,AJemaineClement,253328,1531
2364445033,Simon DeDeo,SimonDeDeo,3541,3258
236526490,Lawrence H. Summers,LHSummers,105583,528
2374215589,NetSci 2014,netsci14,130,13
2375509748,IUNI,IUNetSci,1035,1090
23760311,Alexandra Witze,alexwitze,17646,3792
2384071,Tim O'Reilly,timoreilly,1988588,1827
23962323,Discover Magazine,DiscoverMag,1145667,583
23989296,Barbara Jasny,bjasny,127,50
240555156,Katy Borner,katycns,1440,69
2424151074,Olaf Sporns,spornslab,7061,322
243804207,Abdullah M Almaatouq,amaatouq,670,644
24411159,Barry Wellman,barrywellman,5693,565
24414370,Anno Saxenian,annosax,1134,375
2451308594,Botometer,Botometer,1658,83
2459490150,NetMob17,netmob17,332,203
246033684,Quid, Inc.,Quid,5440,425
246677519,Michael Batty,jmichaelbatty,4063,112
24669093,Jose Luis Mateos,jlmateos,2619,1026
2467791,Washington Post,washingtonpost,11634732,1454
24789175,James Fallows,JamesFallows,156048,927
247943631,Jeffrey Heer,jeffrey_heer,8585,522
24811237,David Huffaker,davetown101,560,230
25073877,Donald J. Trump,realDonaldTrump,43929606,45
250831420,SONIC Research Group,SonicNU,873,231
252397899,Henry Farrell,henryfarrell,4935,461
252531143,Anne-Marie Slaughter,SlaughterAM,158198,3388
252608121,Yaneer Bar-Yam,yaneerbaryam,6425,169
254300792,René Pfitzner,RenePfitznerZH,540,91
254497239,Anxo Sánchez,anxosan,1458,532
255048621,Roberta Sinatra,robysinatra,1780,715
255617445,Bret Victor,worrydream,45569,49
257153464,GianpieroPetriglieri,gpetriglieri,14201,1251
25734277,James Gleick,JamesGleick,32561,177
2583902516,ETHZ Systems Design,ETHZSystDesign,218,90
2584784815,Ryan Gallagher,ryanjgallag,745,944
25864331,Mary L. Gray,marylgray,2903,1185
258847118,PNAS,PNASNews,74765,1186
259771124,Physics arXiv Blog,arxivblog,39901,0
26000689,Duncan Watts,duncanjwatts,14189,300
260685403,Scientific Reports,SciReports,74743,2855
26419626,Jim Bagrow,bagrow,917,236
264501255,Eric Horvitz,erichorvitz,10509,1082
26601529,Carter T. Butts,CarterButts,390,0
266257331,Rajiv Sethi,rajivatbarnard,2169,376
27047369,Cesar Hidalgo,cesifoti,12106,1378
2729061,Cory Doctorow,doctorow,433873,1516
27403471,Cecilia Mascolo,cecim,1111,248
2741029178,ASQ Journal,ASQJournal,3453,284
2742636202,Balazs Vedres,balazsvedres,175,235
2785720331,Complex Systems 2017,ccs17mx,1887,696
28049003,William Gibson,GreatDismal,228215,230
2805421915,ICCSS,IC2S2,1216,109
281877818,Noah Smith,Noahpinion,77118,756
282778510,Simon Jackman,SimonJackman,4448,795
28543386,Physics World,PhysicsWorld,173339,1500
28583197,Radiolab 🔬,Radiolab,262670,1050
2876139185,Arne Traulsen,EvolTheoArne,461,108
2894084200,Bruce Western,WesternBruce,2319,306
2901252195,Federico Levi,fdlevi,420,185
2912834655,ComplexLabBarcelona,clabbarcelona,889,111
2914186151,NetSci Backstage,netscibackstage,318,414
2916305152,Edward Snowden,Snowden,3554582,1
2919151,Joanna J Bryson,j2bryson,8130,1321
29193463,Shamus Khan,shamuskhan,4574,837
2924669003,Scalable Cooperation,scalablecoop,748,156
29354944,Gary King,kinggary,25512,10154
293983295,Vincent Traag,vtraag,988,791
2970511,sam lessin,lessin,9552,197
29717083,Seth Bordenstein,Symbionticism,5135,1341
29735775,IBM Watson,IBMWatson,203859,1674
29749354,Jennifer Chayes,jenniferchayes,1942,115
29757971,Joshua Tucker,j_a_tucker,3922,1382
300735398,Aatish Bhatia,aatishb,13727,2913
3013951,Matthew Hurst,matthewhurst,1408,23
301579658,Chris Danforth,ChrisDanforth,2485,118
30280962,MC Binz-Scharf,mcscharf,921,566
3030922321,DJ Patil (NARA),DJ44,34810,718
3034214643,Patrick Goymer,PatrickGoymer,2687,1165
304928205,Guido Caldarelli 贵多,GuidoCaldarelli,2209,1264
30569817,Deb Roy,dkroy,13424,463
306211107,Stefano Battiston,zbattiz,929,419
30706856,Petter Holme,pholme,1751,445
307733133,Lance Bennett,LanceBennett1,926,207
3088703037,Stefano Zapperi,SZapperi,232,157
3092760197,Robert H Frank,econnaturalist,4436,231
3094891,Amy Bruckman,asbruckman,3262,802
31030273,Gabriella Coleman,BiellaColeman,46971,2178
31035336,Marc Abrahams,MarcAbrahams,9305,774
315382048,Ron Burt,ron_burt,240,38
315718020,Daniel B. Stouffer,StoufferLab,630,346
316327930,Neuroskeptic,Neuro_Skeptic,118764,405
316389142,John Oliver,iamjohnoliver,4699334,101
316651357,Luca Pappalardo,lucpappalard,1511,2526
317422543,Ricard Sole,ricard_sole,2778,776
3183721,Gilad Lotan,gilgul,17933,2765
31936449,Lior Pachter,lpachter,9671,668
320268880,Hopi Hoekstra,hopihoekstra,8219,607
320922867,James S McDonnell Fd,JSMF,872,368
32372834,Science Magazine,sciencemagazine,1075632,500
3238448948,Carl T. Bergstrom,CT_Bergstrom,5104,988
324508782,Betsy Levy Paluck,betsylevyp,4083,942
32493647,Tim Harford,TimHarford,134406,667
326405840,Lynn Vavreck,vavreck,9521,731
